Age (Ma),SL (compared to present)
65.7,195.8
65.75,195.8
65.8,192
65.85,154.03
65.9,121.9
65.95,120
66,154.1
66.18,188.2
66.35,195.8
66.53,199.6
66.71,203.4
66.88,205.3
67.06,207.2
67.24,209.1
67.41,211
67.59,212.9
67.77,214.8
67.94,214.8
68.12,214.8
68.3,214.8
68.47,214.8
68.65,214.8
68.83,214.8
69,212.9
69.18,211
69.36,211
69.53,209.1
69.71,207.3
69.89,203.5
70.06,200.33
70.24,196.38
70.42,189.57
70.59,177.57
70.77,169.4
70.95,169.4
71.12,180.8
71.3,191.15
71.39,198.75
71.48,205.4
71.57,209.2
71.66,213
71.75,214.9
71.84,218.7
71.93,220.6
72.02,222.5
72.11,224.4
72.2,226.3
72.29,226.3
72.38,226.3
72.47,228.2
72.56,228.2
72.65,228.2
72.74,229.71
72.83,229.78
72.92,229.8
73.01,229.8
73.1,229.8
73.19,229.8
73.28,229.8
73.37,229.53
73.46,227.93
73.55,227.99
73.64,225.56
73.73,222.84
73.82,222.26
73.91,222.21
74,220.3
74.1,216.4
74.19,214.03
74.29,209.75
74.38,203.48
74.48,196.16
74.57,191.5
74.67,189.6
74.76,189.6
74.86,189.6
74.95,191.5
75.05,198.2
75.14,206.8
75.24,211.6
75.33,218.3
75.43,222.1
75.52,225.9
75.62,229.8
75.71,233.6
75.81,236.45
75.9,237.4
76,237.4
76.09,237.4
76.19,237.4
76.28,236.64
76.38,234.36
76.47,233.1
76.57,231.6
76.66,229.7
76.76,229.7
76.85,229.7
76.95,231.6
77.04,231.6
77.14,231.6
77.23,233.5
77.33,234.45
77.42,237.4
77.52,241.2
77.61,243.1
77.71,245
77.8,245
77.9,245
77.99,245
78.09,245
78.18,243.1
78.28,241.1
78.37,239.2
78.47,237.3
78.56,237.3
78.66,237.3
78.75,239.2
78.85,239.2
78.94,241.1
79.04,243
79.13,244.9
79.23,243
79.32,241.1
79.42,236.83
79.51,223.9
79.61,193.2
79.7,186.23
79.8,202.8
79.89,217.15
79.99,221.9
80.08,225.8
80.18,227.7
80.27,231.5
80.37,233.4
80.46,233.4
80.56,235.3
80.65,235.93
80.75,237.2
80.84,237.2
80.94,237.2
81.03,237.2
81.13,235.3
81.22,235.3
81.32,235.3
81.41,233.4
81.51,233.4
81.6,233.4
81.7,231.4
81.79,229.03
81.89,225.7
81.98,219.52
82.08,215.34
82.17,212.3
82.27,210.4
82.36,210.4
82.46,210.3
82.55,212.3
82.65,213.25
82.74,216.1
82.84,217.05
82.93,219.9
83.03,221.8
83.12,223.7
83.22,225.6
83.31,224.08
83.41,222.56
83.5,220.28
83.56,216
83.62,211.82
83.67,207.64
83.73,202.22
83.79,189.7
83.85,184.64
83.9,181.6
83.96,181.6
84.02,185.4
84.08,194.33
84.13,204.5
84.19,212.2
84.25,217.9
84.31,221.7
84.36,223.6
84.42,223.6
84.48,223.6
84.54,223.6
84.59,225.35
84.65,225.7
84.71,224.41
84.77,221.73
84.82,220.1
84.88,220.1
84.94,218.2
85,218.2
85.05,216.3
85.11,216.3
85.17,216.3
85.23,216.32
85.28,216.39
85.34,217.62
85.4,218.98
85.46,220.47
85.51,223.19
85.57,225.95
85.63,227.86
85.69,229.7
85.74,229.7
85.8,229.8
86.12,227.9
86.44,224.1
86.76,222.2
87.08,224.1
87.4,226
87.72,231.7
88.04,235.6
88.36,237.5
88.68,237.5
89,237.5
89.15,234.97
89.3,229.9
89.45,214.7
89.6,176.5
89.75,135.5
89.9,128.8
90.05,130.7
90.2,163.2
90.35,209
90.5,241.5
90.65,238.97
90.8,224.3
90.95,220.5
91.1,251.1
91.25,254.9
91.4,254.9
91.55,247.3
91.7,243.5
91.85,243.5
92,249.3
92.15,256.9
92.3,256.9
92.45,257
92.6,257
92.75,257.99
92.9,255.27
93.05,252.01
93.2,246.93
93.35,241.7
93.5,238.99
93.64,234.64
93.77,229.76
93.91,227.04
94.04,224.34
94.18,222.8
94.31,222.8
94.45,220.9
94.58,220.9
94.72,218.3
94.85,218.3
94.99,219.25
95.12,221.8
95.26,222.2
